metric,value
total,3
answerable_rate,1.0
intent_accuracy,1.0
sql_generation_rate,1.0
sql_validation_rate,1.0
sql_valid_rate,1.0
sql_execution_rate,1.0
result_value_match_rate,1.0
result_match_rate,1.0
correction_success_rate,
retrieval_miss_rate,0.0
candidate_selection_accuracy,
catalog_candidates_rate,0.0
catalog_tool_call_rate,0.0
catalog_decision_rate,1.0
catalog_tool_call_count,0
catalog_decision_count,3
latency_p50,3.312280333000672
latency_p95,3.312280333000672
token_cost_estimate,"{""usd"": null, ""method"": ""provider_usage_not_tracked_yet""}"
alias_only_difference_count,1
type_only_difference_count,0
order_only_mismatch_count,0
shape_mismatch_count,0
value_mismatch_count,0
error_category_counts,{}
failures_by_difficulty,{}
