metric,value
total,10
answerable_rate,0.8
intent_accuracy,0.8
sql_generation_rate,0.8
sql_validation_rate,0.8
sql_valid_rate,0.8
sql_execution_rate,0.8
result_value_match_rate,0.875
result_match_rate,0.875
correction_success_rate,1.0
retrieval_miss_rate,0.0
candidate_selection_accuracy,
catalog_candidates_rate,1.0
catalog_tool_call_rate,0.75
catalog_decision_rate,1.0
catalog_tool_call_count,7
catalog_decision_count,9
latency_p50,5.506165957998746
latency_p95,8.487959041998693
token_cost_estimate,"{""usd"": null, ""method"": ""provider_usage_not_tracked_yet""}"
alias_only_difference_count,2
type_only_difference_count,0
order_only_mismatch_count,1
shape_mismatch_count,0
value_mismatch_count,0
error_category_counts,"{""intent_not_answerable"": 2, ""order_only_mismatch"": 1}"
failures_by_difficulty,"{""medium"": 1, ""hard"": 2}"
