metric,value
total,10
answerable_rate,1.0
intent_accuracy,1.0
sql_generation_rate,1.0
sql_validation_rate,1.0
sql_valid_rate,1.0
sql_execution_rate,1.0
result_value_match_rate,0.9
result_match_rate,0.9
correction_success_rate,1.0
retrieval_miss_rate,0.0
candidate_selection_accuracy,
catalog_candidates_rate,1.0
catalog_tool_call_rate,0.9
catalog_decision_rate,0.9
catalog_tool_call_count,10
catalog_decision_count,10
latency_p50,5.82028524999987
latency_p95,12.9804794590018
token_cost_estimate,"{""usd"": null, ""method"": ""provider_usage_not_tracked_yet""}"
alias_only_difference_count,3
type_only_difference_count,0
order_only_mismatch_count,1
shape_mismatch_count,0
value_mismatch_count,0
error_category_counts,"{""order_only_mismatch"": 1}"
failures_by_difficulty,"{""hard"": 1}"
