metric,value
total,20
answerable_rate,0.95
intent_accuracy,0.95
sql_generation_rate,0.95
sql_validation_rate,0.95
sql_valid_rate,0.95
sql_execution_rate,0.95
result_value_match_rate,0.9473684210526315
result_match_rate,0.9473684210526315
correction_success_rate,
retrieval_miss_rate,0.0
candidate_selection_accuracy,
latency_p50,2.0657126660007634
latency_p95,3.0690411670002504
token_cost_estimate,"{""usd"": null, ""method"": ""provider_usage_not_tracked_yet""}"
alias_only_difference_count,10
type_only_difference_count,0
order_only_mismatch_count,0
shape_mismatch_count,0
value_mismatch_count,1
error_category_counts,"{""intent_not_answerable"": 1, ""value_mismatch"": 1}"
failures_by_difficulty,"{""L1"": 2}"
