metric,value
total,10
answerable_rate,1.0
intent_accuracy,1.0
sql_generation_rate,1.0
sql_validation_rate,1.0
sql_valid_rate,1.0
sql_execution_rate,0.9
result_value_match_rate,0.7777777777777778
result_match_rate,0.7777777777777778
correction_success_rate,0.0
retrieval_miss_rate,0.0
candidate_selection_accuracy,
latency_p50,2.439905708000879
latency_p95,8.040376833996561
token_cost_estimate,"{""usd"": null, ""method"": ""provider_usage_not_tracked_yet""}"
alias_only_difference_count,1
type_only_difference_count,0
order_only_mismatch_count,0
shape_mismatch_count,2
value_mismatch_count,0
error_category_counts,"{""schema_linking_error"": 1, ""shape_mismatch"": 2}"
failures_by_difficulty,"{""L1"": 3}"
