metric,value
total,1
answerable_rate,1.0
intent_accuracy,1.0
sql_generation_rate,0.0
sql_validation_rate,0.0
sql_valid_rate,0.0
sql_execution_rate,0.0
result_value_match_rate,
result_match_rate,
correction_success_rate,
retrieval_miss_rate,0.0
candidate_selection_accuracy,
latency_p50,0.04119383299985202
latency_p95,0.04119383299985202
token_cost_estimate,"{""usd"": null, ""method"": ""provider_usage_not_tracked_yet""}"
alias_only_difference_count,0
type_only_difference_count,0
order_only_mismatch_count,0
shape_mismatch_count,0
value_mismatch_count,0
error_category_counts,"{""provider_error"": 1}"
failures_by_difficulty,"{""L1"": 1}"
